employee_id,department,job_title,hire_date,salary,bonus,performance_score,satisfaction_score,age,gender,education
EMP-0001,Engineering,DevOps Engineer,2023-07-09,130167,14895.0,2.5,3.5,34,Non-binary,Bachelor's
EMP-0002,Finance,Accountant,2018-12-24,129874,8776.0,4.7,3.7,48,Non-binary,Bachelor's
EMP-0003,Operations,COO Staff,2021-01-27,66910,1566.0,1.4,4.6,23,Male,High School
EMP-0004,Finance,FP&A Manager,2020-05-07,106096,5652.0,1.4,2.1,45,Female,Bachelor's
EMP-0005,Engineering,DevOps Engineer,2022-09-12,159828,9025.0,1.0,1.4,43,Male,Master's
EMP-0006,Marketing,SEO Specialist,2017-01-29,60033,3532.0,2.5,2.8,41,Female,Bachelor's
EMP-0007,Operations,COO Staff,2023-02-18,108935,2276.0,3.6,2.9,41,Male,Master's
EMP-0008,Sales,Sales Rep,2021-11-21,119294,376.0,4.0,3.9,37,Male,High School
EMP-0009,Sales,BDR,2022-11-19,77578,5646.0,1.1,2.7,28,Female,PhD
EMP-0010,Sales,Account Executive,2018-08-11,96015,2936.0,4.5,2.2,56,Non-binary,High School
EMP-0011,HR,HR Generalist,2021-06-28,134100,4071.0,4.7,4.2,46,Male,Bachelor's
EMP-0012,Engineering,DevOps Engineer,2019-06-19,105768,1932.0,3.4,1.9,51,Male,Bachelor's
EMP-0013,Engineering,Tech Lead,2022-05-14,107544,13548.0,3.6,3.7,50,Non-binary,Bachelor's
EMP-0014,Marketing,Marketing Analyst,2019-08-17,152105,10111.0,3.3,3.5,25,Non-binary,Bachelor's
EMP-0015,Finance,FP&A Manager,2021-10-14,80119,10369.0,3.0,1.1,53,Non-binary,Bachelor's
EMP-0016,Operations,COO Staff,2020-09-13,137951,18754.0,1.6,4.1,51,Female,Master's
EMP-0017,Finance,FP&A Manager,2016-12-25,165920,11125.0,2.0,3.0,36,Male,Master's
EMP-0018,Engineering,DevOps Engineer,2020-06-22,100088,12226.0,3.4,2.4,29,Male,Master's
EMP-0019,Marketing,Brand Manager,2015-09-26,99558,12474.0,2.5,4.1,55,Male,Bachelor's
EMP-0020,Finance,Accountant,2023-06-09,126325,15770.0,2.2,3.4,29,Non-binary,Bachelor's
EMP-0021,Engineering,DevOps Engineer,2018-02-14,125898,12655.0,1.7,4.2,35,Non-binary,Bachelor's
EMP-0022,Finance,FP&A Manager,2021-01-15,144674,1862.0,1.9,4.5,61,Male,Bachelor's
EMP-0023,Finance,Financial Analyst,2024-01-04,113939,400.0,2.1,2.8,25,Female,Bachelor's
EMP-0024,Sales,Sales Manager,2023-08-20,115333,6005.0,4.2,1.3,28,Non-binary,Master's
EMP-0025,Finance,Controller,2021-05-01,104441,13890.0,5.0,3.8,26,Non-binary,PhD
EMP-0026,Marketing,Brand Manager,2015-03-28,137311,12845.0,4.4,2.7,25,Non-binary,Bachelor's
EMP-0027,Finance,Financial Analyst,2019-10-23,102003,13717.0,2.7,3.9,28,Male,Bachelor's
EMP-0028,HR,Recruiter,2015-01-09,119988,7365.0,4.5,1.2,23,Female,Master's
EMP-0029,Operations,Logistics Coord,2022-08-10,113872,199.0,3.5,2.9,59,Non-binary,Bachelor's
EMP-0030,HR,Recruiter,2017-08-02,74340,655.0,1.3,1.3,55,Female,High School
EMP-0031,Sales,BDR,2021-11-06,78276,3566.0,4.7,2.7,28,Non-binary,Bachelor's
EMP-0032,Sales,Account Executive,2021-09-19,74896,6433.0,1.3,1.5,47,Male,Bachelor's
EMP-0033,Finance,Accountant,2022-10-27,101191,11533.0,1.2,2.3,41,Non-binary,Bachelor's
EMP-0034,Finance,Accountant,2023-04-25,113498,6312.0,1.8,2.1,56,Male,High School
EMP-0035,Finance,Financial Analyst,2022-04-08,87749,11289.0,2.9,3.4,28,Non-binary,PhD
EMP-0036,Engineering,Senior Engineer,2019-02-18,177343,21440.0,2.0,4.6,35,Female,Bachelor's
EMP-0037,Finance,Accountant,2016-04-25,154449,10723.0,4.6,4.3,31,Non-binary,PhD
EMP-0038,Marketing,Content Manager,2022-11-01,91916,1996.0,4.0,3.3,52,Non-binary,Master's
EMP-0039,Sales,BDR,2020-07-03,76507,2264.0,1.9,1.1,48,Non-binary,Bachelor's
EMP-0040,Operations,Logistics Coord,2015-07-01,126644,18978.0,2.2,3.1,61,Female,High School
EMP-0041,Operations,Project Manager,2019-02-05,122965,13551.0,3.1,4.0,58,Male,Master's
EMP-0042,Operations,COO Staff,2022-01-24,65152,6253.0,4.5,4.8,35,Female,High School
EMP-0043,Engineering,Tech Lead,2022-08-02,135612,2764.0,1.6,1.8,27,Female,PhD
EMP-0044,Sales,Sales Rep,2017-03-21,71817,9158.0,3.5,2.8,23,Male,Master's
EMP-0045,Engineering,Tech Lead,2023-06-29,151386,8623.0,3.8,3.0,48,Male,Master's
EMP-0046,Engineering,Senior Engineer,2021-01-09,166100,11773.0,3.1,4.4,43,Male,Bachelor's
EMP-0047,Finance,Financial Analyst,2022-05-05,99341,11665.0,1.9,3.6,61,Female,Master's
EMP-0048,Sales,BDR,2023-11-19,101737,11593.0,2.1,2.2,29,Male,Master's
EMP-0049,HR,Recruiter,2021-01-27,68529,9917.0,3.6,4.1,48,Female,Master's
EMP-0050,Marketing,Brand Manager,2015-08-21,85541,5743.0,3.2,4.5,46,Male,PhD
EMP-0051,HR,Recruiter,2018-10-24,148205,1650.0,4.8,3.6,55,Male,Bachelor's
EMP-0052,Marketing,Content Manager,2021-07-12,71896,5568.0,3.9,1.1,33,Female,Bachelor's
EMP-0053,Operations,COO Staff,2019-09-23,74745,7298.0,3.5,2.4,60,Female,Master's
EMP-0054,Operations,COO Staff,2022-09-13,77602,6766.0,3.5,1.3,35,Female,Bachelor's
EMP-0055,Finance,Financial Analyst,2019-04-21,156825,17937.0,3.1,1.4,22,Female,High School
EMP-0056,Finance,Accountant,2015-04-16,112413,4123.0,4.9,3.0,54,Non-binary,Bachelor's
EMP-0057,Finance,Controller,2023-12-30,101774,12711.0,1.5,1.5,34,Male,Bachelor's
EMP-0058,Operations,COO Staff,2021-04-08,122550,14363.0,1.9,4.8,59,Male,Master's
EMP-0059,Finance,Financial Analyst,2018-05-01,113378,11878.0,1.2,3.4,52,Non-binary,PhD
EMP-0060,Sales,BDR,2016-12-24,142478,2506.0,1.5,4.0,24,Male,Master's
EMP-0061,Operations,COO Staff,2021-09-16,96603,1326.0,4.8,4.6,28,Male,Bachelor's
EMP-0062,HR,HR Manager,2018-06-20,161269,9377.0,1.9,1.5,35,Male,Bachelor's
EMP-0063,HR,HR Generalist,2016-12-28,94072,9923.0,4.5,3.0,42,Non-binary,Bachelor's
EMP-0064,Engineering,Software Engineer,2015-04-10,146564,9113.0,1.1,2.0,46,Female,Bachelor's
EMP-0065,HR,Recruiter,2021-05-09,101520,1567.0,3.3,1.9,24,Male,PhD
EMP-0066,Engineering,DevOps Engineer,2023-07-01,180188,8753.0,1.9,4.5,32,Male,Bachelor's
EMP-0067,Operations,Operations Analyst,2015-05-12,80467,2132.0,4.4,3.6,57,Male,Master's
EMP-0068,Sales,Sales Rep,2021-11-28,73989,4301.0,4.5,1.9,47,Male,PhD
EMP-0069,HR,Recruiter,2022-02-04,95805,10677.0,2.5,3.8,58,Non-binary,High School
EMP-0070,Operations,Project Manager,2017-04-27,100192,5447.0,1.4,2.6,33,Female,Bachelor's
EMP-0071,Engineering,Software Engineer,2019-03-28,133156,18742.0,2.9,1.1,45,Non-binary,High School
EMP-0072,Operations,Logistics Coord,2022-05-17,75793,1428.0,3.4,2.8,25,Non-binary,Master's
EMP-0073,Marketing,SEO Specialist,2016-01-18,70138,6709.0,1.8,3.3,48,Female,Bachelor's
EMP-0074,Marketing,Marketing Analyst,2022-05-31,92386,13585.0,4.8,2.4,39,Male,Bachelor's
EMP-0075,Engineering,Tech Lead,2015-04-24,118646,14156.0,2.2,2.6,46,Female,Bachelor's
EMP-0076,Engineering,Tech Lead,2022-04-09,146553,2666.0,2.6,1.0,23,Male,Bachelor's
EMP-0077,Operations,Logistics Coord,2019-05-11,114529,14780.0,2.2,1.6,28,Non-binary,Bachelor's
EMP-0078,Operations,Operations Analyst,2015-01-09,77039,1097.0,4.9,1.4,55,Non-binary,PhD
EMP-0079,Engineering,DevOps Engineer,2020-06-16,88673,10184.0,1.1,4.9,29,Non-binary,Bachelor's
EMP-0080,Marketing,Brand Manager,2023-12-31,126742,397.0,2.6,4.5,32,Non-binary,Bachelor's
EMP-0081,Operations,Logistics Coord,2018-11-17,100976,6437.0,4.5,4.5,57,Non-binary,Bachelor's
EMP-0082,Marketing,Marketing Analyst,2021-03-26,76480,11232.0,1.3,1.1,36,Female,Master's
EMP-0083,Sales,Account Executive,2023-06-08,103322,4577.0,2.0,4.1,52,Male,Master's
EMP-0084,Finance,FP&A Manager,2015-09-21,107559,13934.0,2.5,2.5,22,Non-binary,PhD
EMP-0085,Engineering,Senior Engineer,2019-10-14,176165,18997.0,2.4,2.9,42,Female,PhD
EMP-0086,Sales,Account Executive,2021-08-27,126992,4842.0,2.7,1.4,61,Male,Bachelor's
EMP-0087,Marketing,SEO Specialist,2016-04-21,99409,3938.0,2.7,2.2,24,Male,Master's
EMP-0088,HR,HR Generalist,2020-07-08,103621,921.0,2.7,1.7,45,Male,Bachelor's
EMP-0089,Marketing,Marketing Analyst,2020-01-18,81309,5138.0,5.0,3.2,58,Female,Bachelor's
EMP-0090,Engineering,DevOps Engineer,2016-01-30,120013,6991.0,4.9,2.8,24,Female,Master's
EMP-0091,Sales,Account Executive,2017-02-08,111506,10262.0,1.8,4.4,47,Non-binary,Master's
EMP-0092,Engineering,Software Engineer,2019-09-30,149560,14621.0,4.9,2.7,28,Male,Master's
EMP-0093,HR,HR Manager,2020-05-18,106039,5981.0,2.9,4.3,46,Male,Bachelor's
EMP-0094,Engineering,Tech Lead,2022-04-11,112154,14584.0,4.5,2.2,58,Non-binary,Bachelor's
EMP-0095,Sales,BDR,2016-11-29,73971,5710.0,1.5,1.6,44,Non-binary,Bachelor's
EMP-0096,Engineering,Tech Lead,2018-08-13,119172,12218.0,1.6,2.0,56,Female,Bachelor's
EMP-0097,Finance,Financial Analyst,2023-11-17,130941,16781.0,1.1,2.4,55,Male,Master's
EMP-0098,Engineering,Tech Lead,2020-06-25,111556,3670.0,1.1,3.7,36,Male,Bachelor's
EMP-0099,Finance,Controller,2022-02-23,84115,5990.0,4.2,3.4,26,Non-binary,Master's
EMP-0100,Engineering,Software Engineer,2016-02-20,121563,10551.0,1.1,2.4,53,Female,PhD
EMP-0101,Sales,Sales Manager,2021-08-18,86103,12188.0,5.0,4.6,37,Non-binary,Bachelor's
EMP-0102,HR,People Ops,2017-10-03,90572,1582.0,3.8,3.5,45,Female,Bachelor's
EMP-0103,Finance,Controller,2021-04-25,149286,8445.0,3.9,1.9,52,Male,Bachelor's
EMP-0104,Sales,Account Executive,2022-08-02,93872,12134.0,3.5,3.3,24,Female,Bachelor's
EMP-0105,Sales,Sales Rep,2018-06-16,80709,2315.0,4.6,2.6,36,Male,PhD
EMP-0106,Finance,FP&A Manager,2015-12-18,146098,14046.0,4.0,1.1,44,Non-binary,Master's
EMP-0107,Finance,Financial Analyst,2022-08-20,105697,4249.0,4.5,2.7,37,Female,Bachelor's
EMP-0108,Operations,Project Manager,2015-07-05,119795,1211.0,4.9,3.1,38,Male,Bachelor's
EMP-0109,Marketing,SEO Specialist,2024-01-10,137874,9047.0,3.2,2.7,26,Male,Master's
EMP-0110,Sales,BDR,2019-12-29,88200,2712.0,2.8,2.9,36,Non-binary,Bachelor's
EMP-0111,Engineering,Tech Lead,2018-06-04,132972,9017.0,4.7,1.8,28,Female,Bachelor's
EMP-0112,Sales,Account Executive,2020-04-23,106358,10164.0,1.1,3.2,55,Non-binary,Bachelor's
EMP-0113,Finance,Accountant,2021-02-18,82281,8243.0,2.9,3.9,28,Female,Bachelor's
EMP-0114,HR,HR Generalist,2022-08-08,123235,14644.0,2.1,1.3,61,Male,Master's
EMP-0115,Operations,Project Manager,2023-01-10,101653,2815.0,3.1,1.7,26,Female,Bachelor's
EMP-0116,Operations,COO Staff,2017-06-10,79223,9080.0,2.7,1.8,38,Non-binary,Bachelor's
EMP-0117,Engineering,Software Engineer,2023-07-23,112474,2559.0,4.0,3.1,22,Female,Bachelor's
EMP-0118,Operations,Project Manager,2023-10-30,77191,8550.0,2.1,1.4,27,Female,Bachelor's
EMP-0119,HR,HR Manager,2017-03-20,120265,10118.0,4.9,3.2,28,Male,Master's
EMP-0120,Operations,COO Staff,2022-02-16,116047,8484.0,3.8,3.2,57,Male,Bachelor's
EMP-0121,Marketing,Content Manager,2020-12-31,129519,4839.0,4.7,1.4,47,Female,High School
EMP-0122,Engineering,Senior Engineer,2015-10-25,123621,16946.0,2.9,3.1,47,Male,Bachelor's
EMP-0123,HR,HR Manager,2016-10-16,109571,6798.0,3.8,2.0,54,Male,High School
EMP-0124,Operations,Operations Analyst,2019-09-06,93735,6760.0,1.3,3.1,37,Female,Master's
EMP-0125,Marketing,SEO Specialist,2023-06-27,153776,22964.0,4.1,4.6,33,Female,Master's
EMP-0126,Finance,Financial Analyst,2018-11-27,118692,4450.0,2.3,4.3,48,Non-binary,Bachelor's
EMP-0127,Marketing,Content Manager,2016-11-16,85249,8086.0,4.3,2.7,27,Female,Bachelor's
EMP-0128,Operations,Project Manager,2020-08-03,88224,7312.0,1.3,3.3,46,Female,High School
EMP-0129,Engineering,Tech Lead,2015-01-04,108626,4160.0,2.8,5.0,32,Male,PhD
EMP-0130,Marketing,Brand Manager,2020-01-03,90641,4182.0,2.3,1.7,50,Non-binary,Master's
EMP-0131,Finance,FP&A Manager,2024-01-03,85181,10236.0,4.2,2.8,48,Male,Master's
EMP-0132,Marketing,SEO Specialist,2019-07-28,113290,9471.0,4.4,1.2,45,Female,Bachelor's
EMP-0133,Operations,COO Staff,2022-03-24,144671,4759.0,4.6,2.6,37,Non-binary,Bachelor's
EMP-0134,Operations,Logistics Coord,2018-01-20,107169,5683.0,2.4,2.8,53,Non-binary,Bachelor's
EMP-0135,Marketing,SEO Specialist,2019-08-23,108338,1198.0,4.9,4.7,54,Non-binary,Bachelor's
EMP-0136,Sales,Sales Manager,2017-02-17,133817,15227.0,4.5,2.5,40,Male,Bachelor's
EMP-0137,Sales,Sales Rep,2020-07-26,84972,8163.0,1.6,4.9,55,Male,Master's
EMP-0138,Finance,Financial Analyst,2017-08-17,99438,6535.0,2.6,4.1,59,Female,High School
EMP-0139,Finance,Financial Analyst,2017-11-12,111968,1512.0,1.6,3.4,57,Male,Bachelor's
EMP-0140,HR,HR Manager,2020-11-16,80417,4984.0,4.4,3.5,59,Female,PhD
EMP-0141,Engineering,DevOps Engineer,2022-08-10,137322,1649.0,1.5,2.2,32,Non-binary,Bachelor's
EMP-0142,Sales,Sales Manager,2015-09-28,73752,9817.0,2.6,2.8,45,Female,Bachelor's
EMP-0143,Finance,FP&A Manager,2021-03-24,102458,1095.0,1.0,4.6,53,Non-binary,Master's
EMP-0144,Engineering,Tech Lead,2018-07-12,122959,8832.0,3.1,3.5,40,Male,High School
EMP-0145,HR,HR Generalist,2016-04-21,67436,4127.0,4.9,3.7,26,Non-binary,Bachelor's
EMP-0146,Engineering,DevOps Engineer,2024-01-09,129627,13473.0,2.2,3.8,46,Non-binary,Bachelor's
EMP-0147,Finance,Financial Analyst,2017-05-22,117148,4044.0,3.8,4.5,46,Non-binary,PhD
EMP-0148,Sales,BDR,2019-05-30,98433,11595.0,2.5,1.8,33,Female,High School
EMP-0149,Marketing,Content Manager,2022-01-23,132965,6189.0,3.8,4.8,59,Female,Bachelor's
EMP-0150,Engineering,Software Engineer,2020-10-20,158037,13180.0,2.2,2.2,23,Male,Bachelor's
EMP-0151,Marketing,SEO Specialist,2018-09-28,129674,2048.0,4.2,2.6,58,Male,Master's
EMP-0152,Finance,Financial Analyst,2017-05-03,103135,13601.0,3.4,3.8,40,Male,PhD
EMP-0153,Engineering,Senior Engineer,2022-12-30,99616,4834.0,4.3,3.4,60,Male,PhD
EMP-0154,HR,Recruiter,2023-10-07,104113,13305.0,4.0,2.9,37,Male,Bachelor's
EMP-0155,Marketing,Brand Manager,2017-03-22,119383,7916.0,1.3,3.7,28,Male,Bachelor's
EMP-0156,Marketing,Brand Manager,2019-04-05,133810,20007.0,3.4,4.2,34,Non-binary,Bachelor's
EMP-0157,Marketing,SEO Specialist,2017-06-12,143502,10072.0,3.4,2.9,43,Female,Bachelor's
EMP-0158,Engineering,Senior Engineer,2018-10-02,95018,3762.0,1.1,1.7,61,Non-binary,Bachelor's
EMP-0159,Sales,Account Executive,2019-03-25,130318,16429.0,2.8,3.3,29,Male,Master's
EMP-0160,HR,People Ops,2019-10-13,105957,13369.0,3.4,3.3,60,Male,Bachelor's
EMP-0161,HR,People Ops,2018-05-01,87770,1609.0,3.8,2.3,24,Non-binary,Master's
EMP-0162,Finance,Controller,2023-11-10,121326,5296.0,2.9,1.7,25,Female,Bachelor's
EMP-0163,Sales,Sales Manager,2020-05-21,109683,9225.0,1.3,3.4,38,Female,Master's
EMP-0164,Marketing,Brand Manager,2018-07-24,92746,13636.0,4.5,2.0,29,Female,Bachelor's
EMP-0165,Engineering,Senior Engineer,2021-04-08,149820,21139.0,1.1,2.3,55,Non-binary,Master's
EMP-0166,Engineering,Software Engineer,2020-12-31,176599,13107.0,2.8,4.6,52,Female,High School
EMP-0167,Marketing,Content Manager,2018-08-13,152529,9007.0,4.8,4.4,52,Non-binary,Master's
EMP-0168,Operations,COO Staff,2023-09-21,92334,6681.0,3.1,1.7,48,Non-binary,Bachelor's
EMP-0169,Finance,FP&A Manager,2023-12-03,84922,2885.0,3.2,1.8,56,Male,Bachelor's
EMP-0170,Marketing,Content Manager,2022-09-06,102833,12637.0,3.1,2.2,61,Female,Bachelor's
EMP-0171,Sales,Sales Manager,2015-05-05,141683,16529.0,1.9,2.2,37,Female,PhD
EMP-0172,Operations,Logistics Coord,2016-03-22,86121,8432.0,2.5,1.2,56,Non-binary,High School
EMP-0173,Engineering,Senior Engineer,2017-11-09,165528,22790.0,1.7,1.0,23,Non-binary,Bachelor's
EMP-0174,Engineering,Tech Lead,2015-04-17,120575,5224.0,2.4,3.1,61,Female,Bachelor's
EMP-0175,Engineering,Software Engineer,2017-02-09,143326,1924.0,4.6,1.5,41,Male,PhD
EMP-0176,Engineering,Tech Lead,2020-10-06,173076,17901.0,3.8,1.6,49,Non-binary,Bachelor's
EMP-0177,Engineering,Senior Engineer,2023-05-01,161283,20564.0,4.2,1.9,43,Female,PhD
EMP-0178,Finance,Controller,2021-03-08,81393,3269.0,4.2,2.8,46,Male,Bachelor's
EMP-0179,Operations,Project Manager,2015-08-06,160631,17622.0,2.1,1.1,26,Non-binary,Bachelor's
EMP-0180,Operations,COO Staff,2022-02-28,99076,6063.0,4.3,1.8,62,Female,Bachelor's
EMP-0181,Sales,Sales Manager,2022-05-23,88557,10630.0,1.9,4.0,39,Non-binary,PhD
EMP-0182,HR,Recruiter,2022-07-27,104777,814.0,4.5,4.8,54,Non-binary,Bachelor's
EMP-0183,Finance,Financial Analyst,2018-09-29,119933,17668.0,2.4,4.3,38,Male,Bachelor's
EMP-0184,Operations,COO Staff,2023-05-22,90583,8785.0,3.0,5.0,27,Male,Master's
EMP-0185,Finance,Controller,2017-09-29,119487,13245.0,2.0,1.2,39,Non-binary,High School
EMP-0186,Operations,Logistics Coord,2016-07-21,77553,7793.0,1.2,2.4,42,Female,Bachelor's
EMP-0187,Sales,Sales Rep,2021-12-01,77128,267.0,3.5,2.7,28,Non-binary,PhD
EMP-0188,Operations,Logistics Coord,2022-03-03,136640,9011.0,2.3,4.2,36,Male,Bachelor's
EMP-0189,Sales,BDR,2023-10-11,100924,3789.0,4.6,4.0,57,Male,Master's
EMP-0190,Sales,Sales Rep,2023-09-29,64796,8855.0,4.0,1.4,44,Male,PhD
EMP-0191,Finance,FP&A Manager,2022-09-04,95642,2711.0,1.1,1.2,39,Non-binary,Master's
EMP-0192,Operations,Project Manager,2019-05-10,87962,1876.0,4.6,3.7,45,Non-binary,Bachelor's
EMP-0193,Operations,COO Staff,2021-10-22,86152,6433.0,2.5,2.4,50,Non-binary,Master's
EMP-0194,Marketing,Content Manager,2017-04-30,152642,1640.0,3.3,2.4,56,Non-binary,Bachelor's
EMP-0195,HR,People Ops,2015-03-03,116585,11872.0,3.3,2.9,54,Male,Master's
EMP-0196,Finance,Accountant,2021-04-16,72332,6537.0,2.7,2.4,59,Non-binary,Bachelor's
EMP-0197,HR,HR Generalist,2019-09-15,110947,2619.0,2.3,4.0,62,Female,High School
EMP-0198,Marketing,Content Manager,2022-03-01,111205,8467.0,2.4,2.8,43,Male,Master's
EMP-0199,Finance,Financial Analyst,2018-10-30,94477,12557.0,3.7,1.5,38,Female,Master's
EMP-0200,Finance,Financial Analyst,2021-07-07,121298,380.0,2.6,2.0,56,Female,Bachelor's
EMP-0201,HR,Recruiter,2016-09-02,107410,4799.0,4.2,4.3,39,Male,Master's
EMP-0202,Marketing,Marketing Analyst,2021-01-26,134302,13149.0,4.0,1.0,26,Male,High School
EMP-0203,Marketing,Brand Manager,2023-03-30,103399,6123.0,4.2,2.0,30,Female,High School
EMP-0204,Operations,COO Staff,2018-01-29,135028,9791.0,5.0,3.0,58,Male,Bachelor's
EMP-0205,HR,HR Manager,2022-11-11,104942,11133.0,3.2,1.4,34,Male,Master's
EMP-0206,Engineering,DevOps Engineer,2017-06-25,111405,2982.0,2.3,5.0,24,Male,Master's
EMP-0207,HR,HR Manager,2022-12-23,74509,7776.0,1.8,1.2,46,Male,Master's
EMP-0208,Marketing,Content Manager,2016-07-28,86967,2769.0,4.4,2.2,38,Female,Bachelor's
EMP-0209,Engineering,DevOps Engineer,2019-10-28,90619,6174.0,3.6,3.0,51,Non-binary,Bachelor's
EMP-0210,Finance,Accountant,2021-02-03,80099,1416.0,1.2,1.6,60,Male,Bachelor's
EMP-0211,Sales,BDR,2023-02-23,136000,2137.0,1.4,1.2,44,Female,Bachelor's
EMP-0212,Operations,COO Staff,2020-02-05,114226,12959.0,2.8,1.1,36,Non-binary,Bachelor's
EMP-0213,Operations,COO Staff,2023-06-01,125232,13674.0,2.1,3.0,60,Male,Master's
EMP-0214,Engineering,Senior Engineer,2021-01-20,156757,16841.0,2.6,1.6,24,Non-binary,High School
EMP-0215,Sales,Account Executive,2015-04-12,80445,3182.0,4.3,1.7,51,Male,High School
EMP-0216,Marketing,Brand Manager,2017-12-08,119094,7979.0,1.8,3.8,61,Female,Master's
EMP-0217,Operations,Operations Analyst,2016-07-25,114553,5868.0,1.4,4.4,31,Non-binary,Bachelor's
EMP-0218,Marketing,SEO Specialist,2020-04-28,105676,12705.0,1.7,2.6,36,Non-binary,Bachelor's
EMP-0219,Engineering,Software Engineer,2021-01-01,119554,15943.0,3.1,2.7,27,Male,Bachelor's
EMP-0220,Sales,Sales Rep,2015-09-04,91814,5479.0,2.3,4.3,51,Female,Bachelor's
EMP-0221,Engineering,Senior Engineer,2020-10-16,132392,2099.0,3.3,4.6,51,Female,PhD
EMP-0222,Marketing,SEO Specialist,2016-09-15,80334,11232.0,2.9,4.3,50,Male,High School
EMP-0223,HR,HR Generalist,2020-11-24,118692,11480.0,2.1,5.0,41,Male,Bachelor's
EMP-0224,Marketing,SEO Specialist,2021-02-27,136202,11630.0,1.8,2.9,33,Female,Bachelor's
EMP-0225,HR,People Ops,2021-05-22,124561,11959.0,3.0,2.9,36,Non-binary,Master's
EMP-0226,Sales,Sales Rep,2015-05-20,122432,4124.0,1.6,3.7,37,Non-binary,Bachelor's
EMP-0227,Engineering,Software Engineer,2021-11-24,123716,6550.0,3.6,1.2,50,Non-binary,Master's
EMP-0228,Sales,Sales Rep,2023-03-03,152913,15309.0,3.9,1.6,25,Non-binary,Bachelor's
EMP-0229,HR,Recruiter,2019-09-11,123756,1398.0,1.4,3.6,60,Non-binary,Bachelor's
EMP-0230,Operations,Project Manager,2016-01-11,98018,5786.0,4.7,5.0,59,Non-binary,PhD
EMP-0231,Engineering,DevOps Engineer,2015-12-23,122884,5915.0,3.8,2.6,25,Non-binary,Master's
EMP-0232,Marketing,Marketing Analyst,2018-12-10,137338,19399.0,3.6,1.9,34,Female,Master's
EMP-0233,Marketing,Brand Manager,2020-11-30,97476,895.0,5.0,3.1,50,Non-binary,Master's
EMP-0234,Marketing,SEO Specialist,2022-11-12,108554,4243.0,3.8,2.9,31,Male,Master's
EMP-0235,HR,HR Manager,2018-03-17,82927,6217.0,1.5,3.6,30,Female,Bachelor's
EMP-0236,Operations,Logistics Coord,2021-10-10,124440,13425.0,3.6,3.3,43,Male,Bachelor's
EMP-0237,Marketing,Marketing Analyst,2017-12-20,127143,10036.0,1.6,1.6,52,Male,Bachelor's
EMP-0238,Marketing,SEO Specialist,2022-07-08,102568,11824.0,4.4,4.6,47,Female,Bachelor's
EMP-0239,Engineering,Tech Lead,2023-04-29,113147,4282.0,4.7,2.9,43,Non-binary,Bachelor's
EMP-0240,Marketing,SEO Specialist,2020-10-14,127167,15227.0,4.8,1.5,59,Male,High School
EMP-0241,Sales,Sales Rep,2019-03-02,97089,10015.0,1.6,3.2,42,Female,Master's
EMP-0242,Engineering,Tech Lead,2018-12-22,85753,10362.0,2.8,3.7,55,Male,Bachelor's
EMP-0243,HR,HR Manager,2018-05-06,137956,2380.0,3.2,2.0,33,Female,Bachelor's
EMP-0244,HR,Recruiter,2018-03-18,95482,7743.0,3.5,4.5,30,Female,Bachelor's
EMP-0245,Sales,Sales Rep,2019-02-02,85949,10403.0,2.2,2.9,44,Female,Bachelor's
EMP-0246,Sales,Sales Rep,2022-05-10,87882,1440.0,3.6,2.2,51,Male,Bachelor's
EMP-0247,Operations,Operations Analyst,2020-09-05,132766,16317.0,1.9,4.2,55,Female,Bachelor's
EMP-0248,Operations,Operations Analyst,2020-04-28,82683,911.0,4.5,4.9,28,Female,Bachelor's
